candidate_id,priority_rank,topic_id,topic_zh,topic_en,title_en,title_zh,year,journal,source,pmid,pmcid,doi,evidence_level_draft,final_evidence_level,endpoint_class_draft,quality_confidence_score,influence_score,confidence_cap_rule,evidence_source_depth,reason_for_shortlist_zh,reason_for_shortlist_en,review_status,品牌标识,Brand,SEO关键词,资产归属,GitHub公开入口
pubmed-30371228,11,sleep-aging,睡眠与健康结局,Sleep and Aging Outcomes,Self-Reported Sleep Duration and Quality and Cardiovascular Disease and Mortality: A Dose-Response Meta-Analysis.,,2018,Journal of the American Heart Association,PubMed,30371228,PMC6201443,10.1161/JAHA.118.008552,A,A,H1,90,0,max_level_A,abstract_plus_open_pmc_available,v0.5 短名单：睡眠与健康结局；v0.4/v0.5 综合等级 A，质量分 90，终点 H1。公开前仍需人工全文复核。,"v0.5 shortlist: Sleep and Aging Outcomes; final level A, quality score 90, endpoint H1. Human full-text review still required.",public_draft_not_fully_reviewed,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
pubmed-28889101,12,sleep-aging,睡眠与健康结局,Sleep and Aging Outcomes,Relationship of Sleep Duration With All-Cause Mortality and Cardiovascular Events: A Systematic Review and Dose-Response Meta-Analysis of Prospective Cohort Studies.,,2017,Journal of the American Heart Association,PubMed,28889101,PMC5634263,10.1161/JAHA.117.005947,A,A,H1,90,0,max_level_A,abstract_plus_open_pmc_available,v0.5 短名单：睡眠与健康结局；v0.4/v0.5 综合等级 A，质量分 90，终点 H1。公开前仍需人工全文复核。,"v0.5 shortlist: Sleep and Aging Outcomes; final level A, quality score 90, endpoint H1. Human full-text review still required.",public_draft_not_fully_reviewed,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
pubmed-26900147,13,sleep-aging,睡眠与健康结局,Sleep and Aging Outcomes,"Nighttime sleep duration, 24-hour sleep duration and risk of all-cause mortality among adults: a meta-analysis of prospective cohort studies.",,2016,Scientific reports,PubMed,26900147,PMC4761879,10.1038/srep21480,A,A,H1,90,0,max_level_A,abstract_plus_open_pmc_available,v0.5 短名单：睡眠与健康结局；v0.4/v0.5 综合等级 A，质量分 90，终点 H1。公开前仍需人工全文复核。,"v0.5 shortlist: Sleep and Aging Outcomes; final level A, quality score 90, endpoint H1. Human full-text review still required.",public_draft_not_fully_reviewed,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
pubmed-20469800,14,sleep-aging,睡眠与健康结局,Sleep and Aging Outcomes,Sleep duration and all-cause mortality: a systematic review and meta-analysis of prospective studies.,,2010,Sleep,PubMed,20469800,PMC2864873,10.1093/sleep/33.5.585,A,A,H1,90,0,max_level_A,abstract_plus_open_pmc_available,v0.5 短名单：睡眠与健康结局；v0.4/v0.5 综合等级 A，质量分 90，终点 H1。公开前仍需人工全文复核。,"v0.5 shortlist: Sleep and Aging Outcomes; final level A, quality score 90, endpoint H1. Human full-text review still required.",public_draft_not_fully_reviewed,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
pubmed-40118084,15,sleep-aging,睡眠与健康结局,Sleep and Aging Outcomes,"Positive airway pressure therapy and all-cause and cardiovascular mortality in people with obstructive sleep apnoea: a systematic review and meta-analysis of randomised controlled trials and confounder-adjusted, non-randomised controlled studies.",,2025,The Lancet. Respiratory medicine,PubMed,40118084,PMC12045716,10.1016/S2213-2600(25)00002-5,A,A,H1,90,0,max_level_A,abstract_plus_open_pmc_available,v0.5 短名单：睡眠与健康结局；v0.4/v0.5 综合等级 A，质量分 90，终点 H1。公开前仍需人工全文复核。,"v0.5 shortlist: Sleep and Aging Outcomes; final level A, quality score 90, endpoint H1. Human full-text review still required.",public_draft_not_fully_reviewed,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
pubmed-29275335,16,sleep-aging,睡眠与健康结局,Sleep and Aging Outcomes,Association of obstructive sleep apnoea with the risk of vascular outcomes and all-cause mortality: a meta-analysis.,,2017,BMJ open,PubMed,29275335,PMC5770910,10.1136/bmjopen-2016-013983,A,A,H1,90,0,max_level_A,abstract_plus_open_pmc_available,v0.5 短名单：睡眠与健康结局；v0.4/v0.5 综合等级 A，质量分 90，终点 H1。公开前仍需人工全文复核。,"v0.5 shortlist: Sleep and Aging Outcomes; final level A, quality score 90, endpoint H1. Human full-text review still required.",public_draft_not_fully_reviewed,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
pubmed-42495106,17,resistance-training-muscle,抗阻训练、肌肉与衰弱,"Resistance Training, Muscle, and Frailty","Frailty status, clinical and functional outcomes in cardiac amyloidosis: a systematic review and meta-analysis.",,2026,EClinicalMedicine,PubMed,42495106,PMC13393012,10.1016/j.eclinm.2026.104059,A,A,H1,90,0,max_level_A,abstract_plus_open_pmc_available,v0.5 短名单：抗阻训练、肌肉与衰弱；v0.4/v0.5 综合等级 A，质量分 90，终点 H1。公开前仍需人工全文复核。,"v0.5 shortlist: Resistance Training, Muscle, and Frailty; final level A, quality score 90, endpoint H1. Human full-text review still required.",public_draft_not_fully_reviewed,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
pubmed-39342128,18,resistance-training-muscle,抗阻训练、肌肉与衰弱,"Resistance Training, Muscle, and Frailty",Multidimensional frailty as a predictor of mortality among older adults: a systematic review and meta-analysis.,,2024,BMC geriatrics,PubMed,39342128,PMC11439258,10.1186/s12877-024-05377-4,A,A,H1,90,0,max_level_A,abstract_plus_open_pmc_available,v0.5 短名单：抗阻训练、肌肉与衰弱；v0.4/v0.5 综合等级 A，质量分 90，终点 H1。公开前仍需人工全文复核。,"v0.5 shortlist: Resistance Training, Muscle, and Frailty; final level A, quality score 90, endpoint H1. Human full-text review still required.",public_draft_not_fully_reviewed,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
pubmed-38341512,19,resistance-training-muscle,抗阻训练、肌肉与衰弱,"Resistance Training, Muscle, and Frailty",Social frailty as a predictor of all-cause mortality and functional disability: a systematic review and meta-analysis.,,2024,Scientific reports,PubMed,38341512,PMC10858956,10.1038/s41598-024-53984-3,A,A,H1,90,0,max_level_A,abstract_plus_open_pmc_available,v0.5 短名单：抗阻训练、肌肉与衰弱；v0.4/v0.5 综合等级 A，质量分 90，终点 H1。公开前仍需人工全文复核。,"v0.5 shortlist: Resistance Training, Muscle, and Frailty; final level A, quality score 90, endpoint H1. Human full-text review still required.",public_draft_not_fully_reviewed,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
pubmed-36604970,20,resistance-training-muscle,抗阻训练、肌肉与衰弱,"Resistance Training, Muscle, and Frailty","Recent sarcopenia definitions-prevalence, agreement and mortality associations among men: Findings from population-based cohorts.",,2023,"Journal of cachexia, sarcopenia and muscle",PubMed,36604970,PMC9891989,10.1002/jcsm.13160,A,A,H1,90,0,max_level_A,abstract_plus_open_pmc_available,v0.5 短名单：抗阻训练、肌肉与衰弱；v0.4/v0.5 综合等级 A，质量分 90，终点 H1。公开前仍需人工全文复核。,"v0.5 shortlist: Resistance Training, Muscle, and Frailty; final level A, quality score 90, endpoint H1. Human full-text review still required.",public_draft_not_fully_reviewed,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
