asset_group,asset_key,table_id,url,rows,created,updated,status
公开数据_全量文献候选库_2026-06,literature_library,tbloVgvQUGB6bf55,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tbloVgvQUGB6bf55,14273,0,0,active
公开数据_候选来源原始表_2026-06,candidate_sources,tblPC52Zl0QrEUsC,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblPC52Zl0QrEUsC,14273,0,0,active
公开数据_入选短名单_2026-06,shortlist_sources,tblUW1obJSpWn3VD,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblUW1obJSpWn3VD,4800,0,0,active
公开数据_证据发现表_2026-06,evidence_findings,tblSzd8W53jzXt28,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblSzd8W53jzXt28,4800,4800,0,active
公开数据_证据矩阵_2026-06,evidence_matrix,tblTYyksp8gvdIq4,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblTYyksp8gvdIq4,2400,2400,0,active
