topic,2020,2021,2022,2023,2024,2025,2026,total_2020_2026
限时进食与代谢健康,6,3,7,17,24,33,10,100
GLP-1、减重与心代谢结局,1,2,6,6,11,30,40,96
微生物组与炎症性衰老,5,3,15,14,23,21,10,91
抗阻训练、肌肉与衰弱,4,1,7,13,14,15,24,78
Klotho / IL-11,3,13,7,12,18,15,8,76
身体活动与健康寿命,7,6,11,6,9,15,22,76
LDL-C/apoB 与心血管风险,6,6,4,5,7,20,24,72
心肺适能与死亡风险,3,8,11,12,12,14,10,70
睡眠与健康结局,3,2,9,14,13,11,18,70
饮食模式与死亡风险,11,9,3,11,9,16,9,68
表观遗传时钟,2,1,6,7,6,25,18,65
热量限制与人体衰老,5,6,7,12,15,10,7,62
血压与健康寿命,7,2,2,3,8,5,33,60
二甲双胍与衰老,10,10,8,3,13,8,5,57
Senolytics 清除衰老细胞,0,0,5,3,13,21,14,56
NAD/NMN/NR,1,3,7,13,11,12,4,51
自噬/线粒体自噬,0,1,6,1,4,11,6,29
雷帕霉素/mTOR 与衰老,2,3,2,3,4,6,1,21
ITP 小鼠寿命干预,0,0,0,0,0,0,0,0
部分重编程,0,0,0,0,0,0,0,0
