asset_group,asset_key,table_id,url,rows,created,updated,status
宇多Yul细胞_当前文献库,literature_library,tblIPdcBJPH6UkAE,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblIPdcBJPH6UkAE,11104,0,381,active
宇多Yul细胞_当前候选来源,candidate_sources,tblWoc9k5UIsKq4J,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblWoc9k5UIsKq4J,11104,238,102,active
宇多Yul细胞_当前入选短名单,shortlist_sources,tblhZtMqsgCxFq0v,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblhZtMqsgCxFq0v,3039,162,2789,active
宇多Yul细胞_当前证据发现,evidence_findings,tblgAIsjA1UR4jLr,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblgAIsjA1UR4jLr,3039,162,27,active
宇多Yul细胞_当前证据矩阵,evidence_matrix,tblLnS2g439w9pir,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblLnS2g439w9pir,1500,43,1457,active
